id,category,subcategory,title,description,severity,examples,references,tags,rationale,fix_guidance
DS_CSS_001,drupal_frontend,formatting,Use 2 spaces for indentation,All CSS indentation must use exactly 2 spaces. Declarations should be indented one level from their selector.,medium,"{""good"": "".selector {\n  property: value;\n}"", ""bad"": "".selector {\n    property: value;\n}""}","[""https://www.drupal.org/docs/develop/standards/css/css-formatting-guidelines""]",formatting|indentation|whitespace,Consistent indentation improves code readability and collaboration,Configure your editor to use 2 spaces for CSS indentation. Use EditorConfig for team consistency.
DS_CSS_002,drupal_frontend,formatting,Use Unix line endings (LF),CSS files must use Unix line endings (LF) rather than Windows (CRLF) or Mac (CR) line endings.,low,"{""good"": ""Files with LF line endings"", ""bad"": ""Files with CRLF or CR line endings""}","[""https://www.drupal.org/docs/develop/standards/css/css-formatting-guidelines""]",formatting|line-endings|cross-platform,Ensures consistent file handling across different operating systems and version control,Configure your editor and git to use LF line endings. Use .gitattributes to enforce this.
DS_CSS_003,drupal_frontend,formatting,End files with single blank line,"CSS files should end with exactly one blank line, no more, no less.",low,"{""good"": "".last-rule {\n  property: value;\n}\n"", ""bad"": "".last-rule {\n  property: value;\n}""}","[""https://www.drupal.org/docs/develop/standards/css/css-formatting-guidelines""]",formatting|file-structure,Prevents issues with file concatenation and follows POSIX standards,Configure your editor to automatically add a final newline to files.
DS_CSS_004,drupal_frontend,formatting,Remove trailing whitespace,Lines should not have any whitespace characters at the end.,low,"{""good"": "".selector {\n  property: value;\n}"", ""bad"": "".selector { \n  property: value; \n}""}","[""https://www.drupal.org/docs/develop/standards/css/css-formatting-guidelines""]",formatting|whitespace|cleanup,Trailing whitespace can cause version control noise and is generally untidy,Configure your editor to show and automatically remove trailing whitespace.
DS_CSS_005,drupal_frontend,formatting,Use one selector per line for multiple selectors,"When using multiple selectors, place each selector on its own line for better readability.",medium,"{""good"": "".selector-one,\n.selector-two {\n  property: value;\n}"", ""bad"": "".selector-one, .selector-two {\n  property: value;\n}""}","[""https://www.drupal.org/docs/develop/standards/css/css-formatting-guidelines""]",formatting|selectors|readability,Improves readability and makes it easier to scan and modify selectors,"Split multi-selector rules across multiple lines, with commas at the end of each line."
DS_CSS_006,drupal_frontend,formatting,Quote attribute values in selectors,Always use quotes around attribute values in CSS selectors.,medium,"{""good"": ""input[type=\""checkbox\""]"", ""bad"": ""input[type=checkbox]""}","[""https://www.drupal.org/docs/develop/standards/css/css-formatting-guidelines""]",formatting|selectors|attributes,Quotes ensure proper parsing and are required for attribute values containing spaces or special characters,Always wrap attribute values in double quotes when writing attribute selectors.
DS_CSS_007,drupal_frontend,formatting,End declarations with semicolons,"Every CSS declaration must end with a semicolon, including the last declaration in a rule.",high,"{""good"": "".selector {\n  color: red;\n  margin: 0;\n}"", ""bad"": "".selector {\n  color: red;\n  margin: 0\n}""}","[""https://www.drupal.org/docs/develop/standards/css/css-formatting-guidelines""]",formatting|declarations|syntax,Prevents parsing errors and ensures consistent code style,Always include semicolons after every CSS declaration.
DS_CSS_008,drupal_frontend,formatting,Use double quotes for quoted values,"When quotes are needed in CSS values, use double quotes rather than single quotes.",low,"{""good"": ""font-family: \""Helvetica Neue\"", sans-serif;"", ""bad"": ""font-family: 'Helvetica Neue', sans-serif;""}","[""https://www.drupal.org/docs/develop/standards/css/css-formatting-guidelines""]",formatting|values|quotes,Consistency with other Drupal coding standards and improved readability,Replace single quotes with double quotes in CSS string values.
DS_CSS_009,drupal_frontend,units,Prefer rem units over px,Use rem units for sizing to improve accessibility and responsive design.,medium,"{""good"": ""font-size: 1.2rem;"", ""bad"": ""font-size: 18px;""}","[""https://www.drupal.org/docs/develop/standards/css/css-formatting-guidelines""]",formatting|units|accessibility|responsive,rem units scale with user font size preferences and provide better accessibility,"Use rem units for font sizes, margins, and padding. Use PostCSS for automatic px to rem conversion."
DS_CSS_010,drupal_frontend,formatting,Omit units for zero values,Do not include units when the value is zero (0px should be 0).,low,"{""good"": ""margin: 0;"", ""bad"": ""margin: 0px;""}","[""https://www.drupal.org/docs/develop/standards/css/css-formatting-guidelines""]",formatting|values|optimization,Shorter code and universally understood since zero is zero regardless of unit,Remove units from zero values in CSS declarations.
