id,category,subcategory,title,description,severity,examples,references,tags,rationale,fix_guidance
DS_MARKUP_001,drupal_markup,id_usage,Avoid Using ID Attributes,Don't use the id attribute in markup unless absolutely certain it will be unique. IDs must be unique across the entire page.,high,"{""bad"": [""<div id='sidebar'>Content</div>"", ""<h2 id='title'>Block Title</h2>""], ""good"": [""<div class='sidebar'>Content</div>"", ""<h2 class='block-title'>Block Title</h2>"", ""<div id='sidebar-0' class='sidebar'>Content</div>""]}","[""https://groups.drupal.org/node/6355""]","[""markup"", ""html"", ""ids"", ""uniqueness""]","IDs must be unique on a page. In Drupal's modular system, multiple modules or blocks might use the same ID, causing conflicts and JavaScript errors.","Replace IDs with classes. If an ID is absolutely necessary, use an incrementing approach (e.g., #your-id-0, #your-id-1) or ensure uniqueness through prefixing."
DS_MARKUP_002,drupal_markup,css_classes,Every Div Must Have a Class,Every div element must have at least one identifying class. It's better to have too many classes than not enough.,high,"{""bad"": [""<div>Content</div>"", ""<div><span>Text</span></div>""], ""good"": [""<div class='content-wrapper'>Content</div>"", ""<div class='user-profile teaser'><span class='username'>Text</span></div>""]}","[""https://groups.drupal.org/node/6355""]","[""markup"", ""html"", ""css"", ""classes""]","Classes provide hooks for CSS styling and JavaScript functionality. Without classes, it's impossible to target elements reliably across different contexts.","Add descriptive classes to all div elements. Use multiple classes to describe object type, state, and unique identifiers."
DS_MARKUP_003,drupal_markup,css_classes,Use Three Types of Classes,"Use three types of classes on elements: 1) Object type (node/user/message), 2) Variation/state (full/teaser/collapsed), 3) Unique identifier (node-123).",medium,"{""bad"": [""<div class='content'>...</div>"", ""<article>...</article>""], ""good"": [""<article class='node node-article node-teaser node-123'>...</article>"", ""<div class='user user-full user-456'>...</div>"", ""<div class='message message-error message-789'>...</div>""]}","[""https://groups.drupal.org/node/6355""]","[""markup"", ""html"", ""css"", ""classes"", ""bem""]","This classification system provides maximum flexibility for theming. It allows targeting by type, state, or specific instances.","Add classes following the pattern: [object-type] [object-variation] [object-id]. This provides multiple hooks for CSS and JavaScript."
DS_MARKUP_004,drupal_markup,semantic_html,Use Semantic HTML Elements,"Prefer semantic HTML elements over generic divs and spans. Add classes to existing elements instead of wrapping them.",high,"{""bad"": [""<div class='header'><div class='title'>Title</div></div>"", ""<span class='bold'>Important</span>"", ""<div class='navigation'>...</div>""], ""good"": [""<header><h1 class='title'>Title</h1></header>"", ""<strong>Important</strong>"", ""<nav class='main-navigation'>...</nav>""]}","[""https://groups.drupal.org/node/6355""]","[""markup"", ""html"", ""semantic"", ""accessibility""]","Semantic HTML improves accessibility, SEO, and code maintainability. It provides meaning to content structure that benefits screen readers and search engines.","Replace generic divs with semantic elements like header, nav, main, article, section, aside, footer. Use heading tags (h1-h6) for titles."
DS_MARKUP_005,drupal_markup,page_structure,Site Title Should Use H1 with ID,The site title should use an h1 element with id='site-name' for consistent styling and structure.,medium,"{""bad"": [""<div class='site-name'>My Site</div>"", ""<h2 id='site-name'>My Site</h2>"", ""<h1 class='site-title'>My Site</h1>""], ""good"": [""<h1 id='site-name'>My Site</h1>""]}","[""https://groups.drupal.org/node/6355""]","[""markup"", ""html"", ""headings"", ""site-structure""]","Consistent markup for site titles ensures proper heading hierarchy and allows for reliable styling across all Drupal sites.","Use <h1 id='site-name'> for the main site title. This is an exception to the 'avoid IDs' rule as site-name is guaranteed to be unique."
DS_MARKUP_006,drupal_markup,page_structure,Page Title Structure,"Page titles should use h1 with class='title' and id='page-title' for consistent page structure.",medium,"{""bad"": [""<h2 class='page-title'>Page Title</h2>"", ""<div class='title'>Page Title</div>"", ""<h1>Page Title</h1>""], ""good"": [""<h1 class='title' id='page-title'>Page Title</h1>""]}","[""https://groups.drupal.org/node/6355""]","[""markup"", ""html"", ""headings"", ""page-structure""]","Consistent page title markup ensures proper heading hierarchy and provides reliable hooks for styling and JavaScript.","Use <h1 class='title' id='page-title'> for page titles. This provides both class and ID hooks for maximum flexibility."
DS_MARKUP_007,drupal_markup,headings,Use H2 for Subheadings and Block Titles,"Subheadings and block titles should use h2 elements for proper heading hierarchy.",medium,"{""bad"": [""<h3 class='block-title'>Recent Posts</h3>"", ""<div class='subtitle'>Section Title</div>"", ""<h1 class='block-title'>Navigation</h1>""], ""good"": [""<h2 class='block-title'>Recent Posts</h2>"", ""<h2 class='subtitle'>Section Title</h2>"", ""<h2 class='block-title block-navigation-title'>Navigation</h2>""]}","[""https://groups.drupal.org/node/6355""]","[""markup"", ""html"", ""headings"", ""hierarchy"", ""accessibility""]","Proper heading hierarchy improves accessibility and document structure. Screen readers use heading levels to navigate content.","Use h2 for all subheadings and block titles. This maintains a logical heading structure: h1 for site/page title, h2 for sections."
DS_MARKUP_008,drupal_markup,elements,Avoid Presentational HTML Tags,"Avoid using presentational tags like <b> and <i>. Use semantic alternatives like <strong> and <em>.",high,"{""bad"": [""<b>Bold text</b>"", ""<i>Italic text</i>"", ""<u>Underlined text</u>""], ""good"": [""<strong>Bold text</strong>"", ""<em>Italic text</em>"", ""<span class='underline'>Underlined text</span>""]}","[""https://groups.drupal.org/node/6355""]","[""markup"", ""html"", ""semantic"", ""accessibility""]","Semantic tags convey meaning, not just visual styling. <strong> indicates importance, while <b> only indicates bold styling.","Replace <b> with <strong>, <i> with <em>. For purely visual effects, use CSS classes instead of presentational tags."
DS_MARKUP_009,drupal_markup,block_elements,Use Block-Level Elements for Content Containers,"Use block-level elements (div) for containing content, not inline elements like span.",medium,"{""bad"": [""<span class='content-wrapper'>Paragraph of text</span>"", ""<span class='block'>Block content</span>""], ""good"": [""<div class='content-wrapper'>Paragraph of text</div>"", ""<section class='content-block'>Block content</section>""]}","[""https://groups.drupal.org/node/6355""]","[""markup"", ""html"", ""block-elements"", ""layout""]","Block-level elements are designed for layout and content structure. Using inline elements for layout can cause rendering issues.","Use div or semantic block elements (section, article, aside) for content containers. Reserve span for inline text styling."
DS_MARKUP_010,drupal_markup,validation,Validate HTML and CSS,"Regularly validate HTML and CSS using W3C validators to ensure standards compliance.",high,"{""bad"": [""<!-- Unclosed tags -->\n<div class='wrapper'>\n  <p>Content\n</div>"", ""/* Invalid CSS */\n.class { colour: red; }""], ""good"": [""<!-- Properly closed tags -->\n<div class='wrapper'>\n  <p>Content</p>\n</div>"", ""/* Valid CSS */\n.class { color: red; }""]}","[""https://groups.drupal.org/node/6355"", ""https://validator.w3.org/"", ""https://jigsaw.w3.org/css-validator/""]","[""markup"", ""html"", ""css"", ""validation"", ""standards""]","Valid HTML and CSS ensure consistent rendering across browsers and improve accessibility. Invalid markup can cause JavaScript errors and layout issues.","Use W3C HTML Validator and CSS Validator regularly. Fix all errors and review warnings. Use WAVE tool for accessibility validation."
