id,category,subcategory,title,description,severity,examples,references,tags,rationale,fix_guidance
DS_SPELL_001,drupal_spelling,language_standard,Use US English Spelling,Drupal Core uses US English spelling for all source code including comments and names.,critical,"{""bad"": [""// This function synchronises the data"", ""$colour = 'red';"", ""class AnalyserService {}""], ""good"": [""// This function synchronizes the data"", ""$color = 'red';"", ""class AnalyzerService {}""]}","[""https://www.drupal.org/docs/develop/standards/spelling""]","[""spelling"", ""language"", ""us-english"", ""consistency""]","Consistent spelling across the codebase improves readability and searchability. US English is the standard for Drupal to maintain consistency.","Use US English spelling in all code, comments, and documentation. Common differences: -ize not -ise, -or not -our, -er not -re."
DS_SPELL_002,drupal_spelling,cspell_directives,Use Lowercase for CSpell Directives,CSpell directives should always use lowercase formatting.,medium,"{""bad"": [""// CSPELL:IGNORE myword"", ""// CSpell:Ignore myword"", ""// cspell:IGNORE myword""], ""good"": [""// cspell:ignore myword"", ""// cspell:disable-next-line"", ""// cspell:enable""]}","[""https://www.drupal.org/docs/develop/standards/spelling""]","[""spelling"", ""cspell"", ""directives"", ""formatting""]","Consistent formatting of CSpell directives ensures they are properly recognized by spell checking tools.","Always use lowercase for cspell directives: cspell:ignore, cspell:disable, cspell:enable, cspell:disable-next-line."
DS_SPELL_003,drupal_spelling,cspell_ignore,Properly Format CSpell Ignore Lists,"When ignoring words with CSpell, list them alphabetically with single spaces between words.",low,"{""bad"": [""// cspell:ignore zebra apple  banana"", ""// cspell:ignore banana,apple,zebra"", ""// cspell:ignore\n// banana apple zebra""], ""good"": [""// cspell:ignore apple banana zebra"", ""// cspell:ignore first second third"", ""// cspell:ignore aaa bbb ccc\n// cspell:ignore ddd eee fff""]}","[""https://www.drupal.org/docs/develop/standards/spelling""]","[""spelling"", ""cspell"", ""ignore-list"", ""formatting""]","Alphabetical ordering and consistent spacing make ignore lists easier to maintain and review.","List ignored words alphabetically with single spaces. Use multiple lines if the line would exceed reasonable length limits."
DS_SPELL_004,drupal_spelling,cspell_disable,Use CSpell Disable for Non-English Text,"Disable spell checking for non-English text using cspell:disable comments.",medium,"{""bad"": [""// German text\n$message = 'Guten Tag';"", ""/* French comment\n * Bonjour tout le monde\n */""], ""good"": [""// cspell:disable\n// German text\n$message = 'Guten Tag';\n// cspell:enable"", ""/* cspell:disable\n * French comment\n * Bonjour tout le monde\n * cspell:enable */""]}","[""https://www.drupal.org/docs/develop/standards/spelling""]","[""spelling"", ""cspell"", ""internationalization"", ""i18n""]","Non-English text will trigger false positive spelling errors. Properly marking these sections prevents unnecessary warnings.","Wrap non-English text with cspell:disable and cspell:enable comments to prevent false spelling errors."
DS_SPELL_005,drupal_spelling,cspell_disable,Disable Spell Check for Nonsense Strings,"Use cspell:disable for random strings, tokens, or test data that aren't real words.",medium,"{""bad"": [""$token = 'x7f9a2b4e8c1d';"", ""$test_string = 'asdfghjkl';""], ""good"": [""// cspell:disable-next-line\n$token = 'x7f9a2b4e8c1d';"", ""// cspell:disable\n$test_data = [\n  'asdfghjkl',\n  'qwertyuiop',\n  'zxcvbnm'\n];\n// cspell:enable""]}","[""https://www.drupal.org/docs/develop/standards/spelling""]","[""spelling"", ""cspell"", ""tokens"", ""test-data""]","Random strings and tokens aren't meant to be spelled correctly. Disabling spell check for these prevents noise in spell check reports.","Use cspell:disable-next-line for single lines with random strings. Use cspell:disable/enable blocks for multiple lines."
DS_SPELL_006,drupal_spelling,single_line,Disable Single Line Spell Checking,"Use cspell:disable-next-line to disable spell checking for a single line only.",low,"{""bad"": [""// cspell:disable\n$weird_var = 'xyzabc123';\n// cspell:enable"", ""$weird_var = 'xyzabc123'; // ignore spelling""], ""good"": [""// cspell:disable-next-line\n$weird_var = 'xyzabc123';"", ""// cspell:disable-next-line\nconst WEIRD_CONSTANT = 'qwerty123';""]}","[""https://www.drupal.org/docs/develop/standards/spelling""]","[""spelling"", ""cspell"", ""single-line"", ""directives""]","Single line disabling is more precise and maintains spell checking for surrounding code.","Use cspell:disable-next-line when only one line needs spell checking disabled. This is cleaner than disable/enable blocks."
DS_SPELL_007,drupal_spelling,multi_line,Disable Multi-Line Spell Checking,"Use cspell:disable and cspell:enable blocks for multiple lines that need spell checking disabled.",low,"{""bad"": [""// cspell:disable-next-line\n$var1 = 'xyz123';\n// cspell:disable-next-line\n$var2 = 'abc456';\n// cspell:disable-next-line\n$var3 = 'def789';""], ""good"": [""// cspell:disable\n$var1 = 'xyz123';\n$var2 = 'abc456';\n$var3 = 'def789';\n// cspell:enable""]}","[""https://www.drupal.org/docs/develop/standards/spelling""]","[""spelling"", ""cspell"", ""multi-line"", ""blocks""]","Block disabling is cleaner and more maintainable than multiple single-line directives for consecutive lines.","Use cspell:disable/enable blocks when multiple consecutive lines need spell checking disabled."
DS_SPELL_008,drupal_spelling,character_limit,Handle Long Ignore Lists,"When cspell:ignore lists exceed character limits, split them across multiple lines.",low,"{""bad"": [""// cspell:ignore aaaaaa bbbbbb cccccc dddddd eeeeee ffffff gggggg hhhhhh iiiiii jjjjjj kkkkkk llllll mmmmmm nnnnnn oooooo pppppp qqqqqq rrrrrr ssssss tttttt uuuuuu vvvvvv wwwwww xxxxxx yyyyyy zzzzzz""], ""good"": [""// cspell:ignore aaaaaa bbbbbb cccccc dddddd eeeeee ffffff gggggg\n// cspell:ignore hhhhhh iiiiii jjjjjj kkkkkk llllll mmmmmm nnnnnn\n// cspell:ignore oooooo pppppp qqqqqq rrrrrr ssssss tttttt uuuuuu\n// cspell:ignore vvvvvv wwwwww xxxxxx yyyyyy zzzzzz""]}","[""https://www.drupal.org/docs/develop/standards/spelling""]","[""spelling"", ""cspell"", ""formatting"", ""line-length""]","Long lines are harder to read and may exceed editor or tool limits. Breaking them improves readability.","Split long cspell:ignore lists across multiple lines, maintaining alphabetical order within each line."
DS_SPELL_009,drupal_spelling,consistency,Maintain Spelling Consistency,"Ensure consistent spelling of technical terms and project-specific words throughout the codebase.",high,"{""bad"": [""// Different spellings in same project\nclass DataSynchronizer {}\nclass DataSynchroniser {}\n// Mixed usage\n$color = 'red';\n$colour = 'blue';""], ""good"": [""// Consistent US spelling\nclass DataSynchronizer {}\nclass DataSynchronizerHelper {}\n// Consistent usage\n$color = 'red';\n$backgroundColor = 'blue';""]}","[""https://www.drupal.org/docs/develop/standards/spelling""]","[""spelling"", ""consistency"", ""maintainability""]","Inconsistent spelling makes code harder to search, maintain, and understand. It can also cause bugs when variables are misspelled.","Choose one spelling variant (US English for Drupal) and use it consistently. Use search/replace to fix inconsistencies."
DS_SPELL_010,drupal_spelling,technical_terms,Spell Technical Terms Correctly,"Ensure correct spelling of common technical terms and Drupal-specific terminology.",high,"{""bad"": [""// Common misspellings\nclass HttpRequst {}\n$responce = curl_exec($ch);\n// Drupal term misspellings\n$taxonomoy_term = '';\n$entity_refernce = '';""], ""good"": [""// Correct technical terms\nclass HttpRequest {}\n$response = curl_exec($ch);\n// Correct Drupal terms\n$taxonomy_term = '';\n$entity_reference = '';""]}","[""https://www.drupal.org/docs/develop/standards/spelling""]","[""spelling"", ""technical-terms"", ""drupal"", ""accuracy""]","Misspelled technical terms can cause confusion and make code harder to understand. They may also cause bugs if used as identifiers.","Double-check spelling of technical terms. Common mistakes: requst→request, responce→response, referer→referrer, loosing→losing."
