id,category,subcategory,title,description,severity,examples,references,tags,rationale,fix_guidance
DS_SQL_001,drupal_sql,syntax,Use uppercase for SQL reserved words,"All SQL reserved words (SELECT, FROM, WHERE, etc.) must be written in uppercase for consistency and readability.",medium,"{""good"": ""SELECT nid FROM {node} WHERE status = 1"", ""bad"": ""select nid from {node} where status = 1""}","[""https://www.drupal.org/docs/develop/standards/sql/sql-coding-conventions""]","[""sql"", ""syntax"", ""formatting"", ""consistency""]","Uppercase reserved words improve code readability and maintain consistency with SQL standards","Convert all SQL reserved words to uppercase"
DS_SQL_002,drupal_sql,syntax,Use lowercase for column and constraint names,"Column names and constraint names should be written in lowercase to follow Drupal conventions.",medium,"{""good"": ""SELECT nid, title FROM {node}"", ""bad"": ""SELECT NID, TITLE FROM {NODE}""}","[""https://www.drupal.org/docs/develop/standards/sql/sql-coding-conventions""]","[""sql"", ""naming"", ""columns"", ""constraints""]","Lowercase column names follow Drupal's consistent naming convention","Use lowercase for all column and constraint names"
DS_SQL_003,drupal_sql_naming,table_names,Use curly brackets for table names,"All table names in queries must be enclosed in curly brackets {} to enable proper table prefixing.",critical,"{""good"": ""SELECT * FROM {users}"", ""bad"": ""SELECT * FROM users""}","[""https://www.drupal.org/docs/develop/standards/sql/sql-coding-conventions""]","[""sql"", ""tables"", ""prefixing"", ""portability""]","Curly brackets enable Drupal's table prefixing system and ensure database portability","Wrap all table names with curly brackets {table_name}"
DS_SQL_004,drupal_sql_naming,table_names,Use singular nouns for table names,"Table names should use singular nouns rather than plural forms.",medium,"{""good"": ""{user}"", ""bad"": ""{users}""}","[""https://www.drupal.org/docs/develop/standards/sql/sql-coding-conventions""]","[""sql"", ""naming"", ""tables"", ""conventions""]","Singular table names provide consistency and clarity in database schema","Use singular noun forms for table names"
DS_SQL_005,drupal_sql_naming,table_names,Prefix table names with module name,"Custom table names should be prefixed with the module name to prevent namespace conflicts.",high,"{""good"": ""{mymodule_custom_data}"", ""bad"": ""{custom_data}""}","[""https://www.drupal.org/docs/develop/standards/sql/sql-coding-conventions""]","[""sql"", ""naming"", ""modules"", ""namespace""]","Module prefixes prevent table name conflicts between different modules","Add module name prefix to all custom table names"
DS_SQL_006,drupal_sql_naming,constraints,Name constraints explicitly,"Database constraints should have explicit, descriptive names following consistent patterns.",medium,"{""good"": ""CONSTRAINT users_name_unique UNIQUE (name)"", ""bad"": ""CONSTRAINT UNIQUE (name)""}","[""https://www.drupal.org/docs/develop/standards/sql/sql-coding-conventions""]","[""sql"", ""constraints"", ""naming"", ""maintenance""]","Explicit constraint names make database maintenance and debugging easier","Provide descriptive names for all database constraints"
DS_SQL_007,drupal_sql_naming,indexes,Index names should begin with table name,"Index names must start with the table name followed by descriptive suffix.",medium,"{""good"": ""users_sid_idx"", ""bad"": ""sid_idx""}","[""https://www.drupal.org/docs/develop/standards/sql/sql-coding-conventions""]","[""sql"", ""indexes"", ""naming"", ""organization""]","Table-prefixed index names provide clear organization and prevent conflicts","Start index names with table name followed by descriptive suffix"
DS_SQL_008,drupal_sql_reserved_words,avoidance,Avoid using SQL reserved words as identifiers,"Do not use SQL reserved words as table names, column names, or other database identifiers.",high,"{""good"": ""user_order_date"", ""bad"": ""order""}","[""https://www.drupal.org/docs/develop/coding-standards/list-of-sql-reserved-words""]","[""sql"", ""reserved-words"", ""identifiers"", ""compatibility""]","Reserved words can cause syntax errors and database compatibility issues","Use descriptive non-reserved words for all database identifiers"
DS_SQL_009,drupal_sql_reserved_words,escaping,Properly escape reserved words when necessary,"If reserved words must be used as identifiers, use appropriate escaping mechanisms for the database system.",medium,"{""good"": ""SELECT `order` FROM {table}"", ""bad"": ""SELECT order FROM {table}""}","[""https://www.drupal.org/docs/develop/coding-standards/list-of-sql-reserved-words""]","[""sql"", ""reserved-words"", ""escaping"", ""syntax""]","Proper escaping prevents SQL syntax errors when reserved words are unavoidable","Use backticks, square brackets, or double quotes to escape reserved words"
DS_SQL_010,drupal_sql_reserved_words,awareness,Be aware of database-specific reserved words,"Different database systems (MySQL, PostgreSQL, etc.) may have different reserved word lists.",medium,"{""good"": ""Check database-specific documentation"", ""bad"": ""Assume all databases have same reserved words""}","[""https://www.drupal.org/docs/develop/coding-standards/list-of-sql-reserved-words""]","[""sql"", ""reserved-words"", ""database-specific"", ""portability""]","Database systems have varying reserved word lists that can cause portability issues","Consult database-specific documentation for complete reserved word lists"
DS_SQL_011,drupal_sql_queries,select_statements,Avoid SELECT * in queries,"Explicitly list required columns instead of using SELECT * for better performance and security.",high,"{""good"": ""SELECT nid, title, created FROM {node}"", ""bad"": ""SELECT * FROM {node}""}","[""https://www.drupal.org/docs/develop/coding-standards/avoid-select-from""]","[""sql"", ""performance"", ""security"", ""select""]","SELECT * can bypass security systems and reduces query performance and clarity","Explicitly specify required columns in SELECT statements"
