id,category,subcategory,title,description,severity,examples,references,tags,rationale,fix_guidance
DS_TWIG_001,drupal_twig,documentation,Include file-level docblock,"Every Twig template must include a file-level docblock wrapped in Twig comment markers {# #} that documents available variables.",high,"{""good"": ""{#\n/**\n * @file\n * Theme override for a user profile page.\n *\n * Available variables:\n * - user: The user entity.\n * - content: A list of content items.\n */\n#}"", ""bad"": ""<div class=\""profile\"">\n  {{ content }}\n</div>""}","['https://www.drupal.org/docs/develop/coding-standards/twig-coding-standards']","['documentation', 'docblock', 'variables']",Proper documentation helps developers understand what variables are available and how to use the template.,Add a file-level docblock at the top of every Twig template documenting available variables.
DS_TWIG_002,drupal_twig,documentation,Document variables by name only,"In docblocks, document available variables by name without specifying their types.",medium,"{""good"": ""Available variables:\n- user: The user entity.\n- content: A list of content items.\n- attributes: HTML attributes."", ""bad"": ""Available variables:\n- user (object): The user entity.\n- content (array): A list of content items.\n- attributes (Attribute): HTML attributes.""}","['https://www.drupal.org/docs/develop/coding-standards/twig-coding-standards']","['documentation', 'variables', 'types']",Twig is a template language where variable types are less relevant than their purpose and structure.,Document variables by name and purpose without including specific PHP types.
DS_TWIG_003,drupal_twig,documentation,Reference inline variables with single quotes,"When referencing variables within documentation, wrap them in single quotes.",low,"{""good"": ""Reference the 'user' variable for user information."", ""bad"": ""Reference the user variable for user information.""}","['https://www.drupal.org/docs/develop/coding-standards/twig-coding-standards']","['documentation', 'variables', 'formatting']",Consistent formatting makes documentation more readable and helps distinguish variables from regular text.,Wrap variable names in single quotes when referencing them in comments or documentation.
DS_TWIG_004,drupal_twig,syntax,Use proper variable existence checking,"Use `{% if foo %}` to check if a variable exists and has a truthy value.",critical,"{""good"": ""{% if user.name %}\n  <h1>{{ user.name }}</h1>\n{% endif %}"", ""bad"": ""{% if user.name is defined %}\n  <h1>{{ user.name }}</h1>\n{% endif %}""}","['https://www.drupal.org/docs/develop/coding-standards/twig-coding-standards']","['syntax', 'conditionals', 'variables']",Simple existence checks are cleaner and handle both undefined variables and empty values appropriately.,Use `{% if variable %}` instead of `{% if variable is defined %}` for most cases.
DS_TWIG_005,drupal_twig,syntax,Use for loops for iteration,"Use `{% for %}` loops to iterate over collections of data.",medium,"{""good"": ""{% for item in items %}\n  <div>{{ item.title }}</div>\n{% endfor %}"", ""bad"": ""{% set i = 0 %}\n{% for item in items %}\n  {% set i = i + 1 %}\n  <div>Item {{ i }}: {{ item.title }}</div>\n{% endfor %}""}","['https://www.drupal.org/docs/develop/coding-standards/twig-coding-standards']","['syntax', 'loops', 'iteration']",For loops are the idiomatic way to iterate in Twig and provide built-in loop variables.,Use for loops with proper Twig syntax instead of manual counter variables.
DS_TWIG_006,drupal_twig,syntax,Use set tag for variable assignment,"Use `{% set variable = value %}` to create or modify variables within templates.",medium,"{""good"": ""{% set classes = [\n  'my-class',\n  'another-class'\n] %}"", ""bad"": ""{% do classes.push('my-class') %}\n{% do classes.push('another-class') %}""}","['https://www.drupal.org/docs/develop/coding-standards/twig-coding-standards']","['syntax', 'variables', 'assignment']",The set tag is the standard Twig way to create and modify variables within templates.,Use the set tag for all variable assignments and modifications.
DS_TWIG_007,drupal_twig,attributes,Print all attributes using attributes variable,"Always print all attributes using `{{ attributes }}` to ensure all HTML attributes are included.",critical,"{""good"": ""<div{{ attributes.addClass('my-class') }}>\n  {{ content }}\n</div>"", ""bad"": ""<div class=\""{{ attributes.class }} my-class\"" id=\""{{ attributes.id }}\"">\n  {{ content }}\n</div>""}","['https://www.drupal.org/docs/develop/coding-standards/twig-coding-standards']","['attributes', 'html', 'accessibility']",Using the attributes variable ensures all necessary HTML attributes including accessibility and data attributes are preserved.,Always use the attributes variable rather than manually printing individual attributes.
DS_TWIG_008,drupal_twig,attributes,Print class attributes separately in core,"In Drupal core templates, print class attributes separately from other attributes.",medium,"{""good"": ""<div class=\""{{ attributes.class }}\"" {{ attributes }}>\n  {{ content }}\n</div>"", ""bad"": ""<div{{ attributes }}>\n  {{ content }}\n</div>""}","['https://www.drupal.org/docs/develop/coding-standards/twig-coding-standards']","['attributes', 'core', 'classes']",Drupal core follows a specific pattern for attribute handling that maintains consistency across core templates.,Follow the core pattern of printing class attributes separately when working on core templates.
DS_TWIG_009,drupal_twig,formatting,Use spaceless filter for whitespace control,"Prefer `{% apply spaceless %}` over dash (-) whitespace modifiers for removing unwanted whitespace.",medium,"{""good"": ""{% apply spaceless %}\n  <div>\n    <span>{{ content }}</span>\n  </div>\n{% endapply %}"", ""bad"": ""<div>\n  <span>{{- content -}}</span>\n</div>""}","['https://www.drupal.org/docs/develop/coding-standards/twig-coding-standards']","['formatting', 'whitespace', 'filters']",The spaceless filter provides more predictable whitespace control and is easier to read than inline modifiers.,Use the spaceless filter to wrap blocks of code that need whitespace removed.
DS_TWIG_010,drupal_twig,formatting,Minimize dash whitespace modifiers,"Use dash (-) whitespace modifiers sparingly and only when spaceless filter is not appropriate.",low,"{""good"": ""{{ variable }}"", ""bad"": ""{{- variable -}}""}","['https://www.drupal.org/docs/develop/coding-standards/twig-coding-standards']","['formatting', 'whitespace', 'modifiers']",Excessive use of whitespace modifiers can make templates harder to read and maintain.,Only use dash modifiers when you need fine-grained whitespace control that spaceless cannot provide.
