id,category,subcategory,title,description,severity,examples,references,tags,rationale,fix_guidance
DS_MD_001,markdown_standards,headings,Use ATX-style headings,Use ATX-style headings (# ## ###) instead of setext-style headings for consistency and clarity,medium,"{""good"": ""# Main Title\n## Subtitle\n### Section"", ""bad"": ""Main Title\n=========\nSubtitle\n--------""}","[""https://commonmark.org/help/"", ""https://github.github.com/gfm/""]","[""headings"", ""syntax"", ""consistency""]",ATX-style headings are more explicit and work at all levels (1-6) while setext only supports 2 levels,Replace setext-style underlines with # symbols. Use one # for each heading level
DS_MD_002,markdown_standards,headings,Add space after hash symbols,Always include a space between the hash symbols and heading text,high,"{""good"": ""# Heading Text"", ""bad"": ""#Heading Text""}","[""https://commonmark.org/help/""]","[""headings"", ""spacing"", ""readability""]",Space after hash makes headings more readable and is required by many parsers,Add a single space between the # symbols and the heading text
DS_MD_003,markdown_standards,headings,Avoid skipping heading levels,Do not skip heading levels (e.g., don't go from # to ###),medium,"{""good"": ""# Title\n## Section\n### Subsection"", ""bad"": ""# Title\n### Subsection""}","[""https://github.github.com/gfm/""]","[""headings"", ""hierarchy"", ""accessibility""]",Proper heading hierarchy is essential for accessibility and document structure,Use sequential heading levels. If you need to decrease heading level use the next appropriate level
DS_MD_004,markdown_standards,headings,Limit to one H1 per document,Use only one level 1 heading per document for proper document structure,medium,"{""good"": ""# Main Title\n## Section 1\n## Section 2"", ""bad"": ""# Title 1\n# Title 2""}","[""https://github.github.com/gfm/""]","[""headings"", ""structure"", ""seo""]",Multiple H1 tags can confuse screen readers and search engines,Use one # heading as the main title and ## for major sections
DS_MD_005,markdown_standards,emphasis,Use consistent emphasis markers,Choose either asterisks (*) or underscores (_) for emphasis and use consistently throughout the document,low,"{""good"": ""*italic* and **bold**"", ""bad"": ""*italic* and __bold__""}","[""https://commonmark.org/help/""]","[""emphasis"", ""consistency"", ""style""]",Consistency improves readability and maintainability,Pick one style (asterisks recommended) and use throughout the document
DS_MD_006,markdown_standards,emphasis,Avoid nested emphasis with same markers,Do not nest emphasis using the same marker type,high,"{""good"": ""*italic with **bold** inside*"", ""bad"": ""**bold with **nested bold** inside**""}","[""https://commonmark.org/help/""]","[""emphasis"", ""nesting"", ""syntax""]",Nested same markers can cause parsing issues and render incorrectly,Use different marker types for nested emphasis or restructure the text
DS_MD_007,markdown_standards,lists,Use consistent list markers,Use the same marker for all items in an unordered list (-, *, or +),medium,"{""good"": ""- Item 1\n- Item 2\n- Item 3"", ""bad"": ""- Item 1\n* Item 2\n+ Item 3""}","[""https://github.github.com/gfm/""]","[""lists"", ""consistency"", ""formatting""]",Consistent markers improve readability and prevent parsing issues,Choose one marker type (- recommended) and use throughout each list
DS_MD_008,markdown_standards,lists,Proper list indentation,Use 2-4 spaces for nested list items,medium,"{""good"": ""- Item 1\n  - Nested item\n- Item 2"", ""bad"": ""- Item 1\n- Nested item\n- Item 2""}","[""https://commonmark.org/help/""]","[""lists"", ""indentation"", ""nesting""]",Proper indentation creates clear visual hierarchy,Indent nested list items with 2-4 spaces consistently
DS_MD_009,markdown_standards,lists,Add blank line before lists,Include a blank line before starting a list for better readability,low,"{""good"": ""Text paragraph.\n\n- List item 1"", ""bad"": ""Text paragraph.\n- List item 1""}","[""https://github.github.com/gfm/""]","[""lists"", ""spacing"", ""readability""]",Blank lines separate different content types and improve visual structure,Add a blank line between paragraphs and lists
DS_MD_010,markdown_standards,lists,Use proper ordered list numbering,Use sequential numbering (1. 2. 3.) for ordered lists rather than all 1s,low,"{""good"": ""1. First item\n2. Second item\n3. Third item"", ""bad"": ""1. First item\n1. Second item\n1. Third item""}","[""https://commonmark.org/help/""]","[""lists"", ""numbering"", ""readability""]",Sequential numbering makes lists easier to read in source format,Use actual sequence numbers even though most parsers auto-number
DS_MD_011,markdown_standards,links,Use descriptive link text,Link text should describe the destination rather than using generic text,high,"{""good"": ""[CommonMark specification](https://commonmark.org)"", ""bad"": ""[click here](https://commonmark.org)""}","[""https://github.github.com/gfm/""]","[""links"", ""accessibility"", ""usability""]",Descriptive link text is essential for accessibility and user experience,Replace generic link text with descriptive text that explains what the link leads to
